name,author,year_birth,year_death,popularity,subjects_list
The Duke's Children,Anthony Trollope,1815,1882,168,"['Conflict of generations -- Fiction', 'Domestic fiction', 'London (England) -- Fiction', 'Nobility -- Fiction', 'Palliser, Plantagenet (Fictitious character) -- Fiction', 'Parent and adult child -- Fiction', 'Political fiction', 'Prime ministers -- Family relationships -- Fiction', 'Widowers -- Fiction']"
The Eustace Diamonds,Anthony Trollope,1815,1882,187,"['Courtship -- Fiction', 'Jewelry theft -- Fiction', 'London (England) -- Fiction', 'Palliser, Plantagenet (Fictitious character) -- Fiction', 'Political fiction', 'Poor women -- Fiction', 'Satire', 'Socialites -- Fiction']"
The Fixed Period,Anthony Trollope,1815,1882,44,"['Australia -- Fiction', 'Fantasy fiction', 'Killing of the elderly -- Fiction']"
The Golden Lion of Granpere,Anthony Trollope,1815,1882,29,"['Historical fiction', 'Vosges Mountains (France) -- Fiction']"
"The House of Heine Brothers, in Munich",Anthony Trollope,1815,1882,16,"['British -- Germany -- Fiction', 'Courtship -- Fiction', 'Short stories']"
The Kellys and the O'Kellys,Anthony Trollope,1815,1882,49,"['Domestic fiction', 'Ireland -- Fiction', 'Land tenure -- Fiction', 'Landlord and tenant -- Fiction', 'Landowners -- Fiction']"
The Landleaguers,Anthony Trollope,1815,1882,18,"['Ireland -- Fiction', 'Land League (Ireland) -- Fiction', 'Land tenure -- Fiction', 'Political fiction']"
The Last Chronicle of Barset,Anthony Trollope,1815,1882,255,"['Barsetshire (England: Imaginary place) -- Fiction', 'Clergy -- England -- Fiction', 'Clergy -- Fiction', 'Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Love stories', 'Psychological fiction']"
The Macdermots of Ballycloran,Anthony Trollope,1815,1882,79,"['Domestic fiction', 'Ireland -- Fiction']"
The Man Who Kept His Money In A Box,Anthony Trollope,1815,1882,30,"['British -- Europe -- Fiction', 'Short stories', 'Travelers -- Fiction']"
The Mistletoe Bough,Anthony Trollope,1815,1882,17,"['Christmas stories', 'Courtship -- Fiction', 'England -- Fiction', 'Short stories']"
The O'Conors of Castle Conor from Tales from all Countries,Anthony Trollope,1815,1882,929,"['Adventure stories', 'British -- Foreign countries -- Fiction', 'Impostors and imposture -- Fiction']"
The Parson's Daughter of Oxney Colne,Anthony Trollope,1815,1882,21,"['Children of clergy -- Fiction', 'Devon (England) -- Fiction', 'Mate selection -- Fiction', 'Short stories']"
The Prime Minister,Anthony Trollope,1815,1882,265,"['London (England) -- Fiction', 'Palliser, Plantagenet (Fictitious character) -- Fiction', 'Political fiction', 'Prime ministers -- Fiction']"
The Relics of General Chasse,Anthony Trollope,1815,1882,929,"['Adventure stories', 'British -- Foreign countries -- Fiction', 'Impostors and imposture -- Fiction']"
The Small House at Allington,Anthony Trollope,1815,1882,173,"['Barsetshire (England: Imaginary place) -- Fiction', 'Clergy -- Fiction', 'Domestic fiction']"
"The Struggles of Brown, Jones, and Robinson",Anthony Trollope,1815,1882,28,"['Advertising -- Fiction', 'Businessmen -- Fiction', 'Clothing trade -- Fiction', 'Great Britain -- Social life and customs -- 19th century -- Fiction', 'Humorous stories', ""Men\\'s furnishing goods -- Fiction"", 'Satire']"
The Three Clerks,Anthony Trollope,1815,1882,77,"['Civil service -- Fiction', 'London (England) -- Fiction']"
The Vicar of Bullhampton,Anthony Trollope,1815,1882,65,"['Clergy -- Fiction', 'England -- Fiction']"
The Warden,Anthony Trollope,1815,1882,460,"['Almshouses -- Fiction', 'Barsetshire (England: Imaginary place) -- Fiction', 'Clergy -- Fiction', 'Domestic fiction', 'Satire']"
The Way We Live Now,Anthony Trollope,1815,1882,986,"['Capitalists and financiers -- Fiction', 'Commercial crimes -- Fiction', 'London (England) -- Fiction', 'Mate selection -- Fiction', 'Satire']"
Turkey_ A Past and a Future,Arnold Joseph Toynbee,1889,1975,35,"['Eastern question', 'Turkey -- History', 'World War, 1914-1918 -- Turkey']"
A Bride of the Plains,Baronness Orczy,1865,1947,25,['Hungary -- Fiction']
Castles in the Air,Baronness Orczy,1865,1947,60,"['Adventure stories', 'Paris (France) -- Fiction', 'Short stories']"
El Dorado,Baronness Orczy,1865,1947,134,"['Adventure stories', 'Aristocracy (Social class) -- Fiction', 'Blakeney, Percy, Sir (Fictitious character) -- Fiction', 'British -- France -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Historical fiction', 'Nobility -- Great Britain -- Fiction']"
I Will Repay,Baronness Orczy,1865,1947,83,"['France -- History -- Revolution, 1789-1799 -- Fiction']"
Lord Tony's Wife,Baronness Orczy,1865,1947,68,"['Adventure stories', 'Blakeney, Percy, Sir (Fictitious character) -- Fiction', 'British -- France -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Historical fiction']"
Petticoat Rule,Baronness Orczy,1865,1947,36,"['France -- History -- Louis XV, 1715-1774 -- Fiction', 'France -- Politics and government -- 1715-1774 -- Fiction', 'Kings and rulers -- Fiction', 'Love stories']"
The Bronze Eagle,Baronness Orczy,1865,1947,34,"['Elba (Italy) -- Fiction', 'Napoleon I, Emperor of the French, 1769-1821 -- Elba and the Hundred Days, 1814-1815 -- Fiction']"
The Elusive Pimpernel,Baronness Orczy,1865,1947,139,"['Adventure stories', 'Blakeney, Percy, Sir (Fictitious character) -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Historical fiction', 'Nobility -- Great Britain -- Fiction']"
